coach,year,team,position,squad
Matt Viator,2017,Louisiana-Monroe,HC,2017 Louisiana-Monroe
Scott Satterfield,2017,Appalachian State,HC,2017 Appalachian State
Ed Orgeron,2017,LSU,HC,2017 LSU
Doc Holliday,2017,Marshall,HC,2017 Marshall
Mike Locksley,2017,Alabama,co-OC,2017 Alabama
Walt Bell,2017,Maryland,OC,2017 Maryland
Manny Diaz,2017,Miami FL,DC,2017 Miami FL
Chuck Martin,2017,Miami OH,HC,2017 Miami OH
Jim Harbaugh,2017,Michigan,HC,2017 Michigan
Mel Tucker,2017,Georgia,DC,2017 Georgia
Rick Stockstill,2017,Middle Tennessee,HC,2017 Middle Tennessee
P. J. Fleck,2017,Minnesota,HC,2017 Minnesota
Mike Leach,2017,Washington State,HC,2017 Washington State
Eliah Drinkwitz,2017,North Carolina State,OC,2017 North Carolina State
Ken Niumatalolo,2017,Navy,HC,2017 Navy
Scott Frost,2017,Central Florida,HC,2017 Central Florida
