coach,year,team,position,squad
Bob Stoops,2000,Oklahoma,HC,2000 Oklahoma
Bobby Petrino,2000,Jaguars,QB,2000 Jaguars
Bobby Wilder,2000,Maine,OC,2000 Maine
Chad Morris,2000,Bay City HS (TX),HC,2000 Bay City HS (TX)
Charlie Strong,2000,South Carolina,DC,2000 South Carolina
Chris Ash,2000,Iowa State,GA,2000 Iowa State
Chris Petersen,2000,Oregon,WR,2000 Oregon
Frank Wilson,2000,OP Walker HS (LA),HC,2000 OP Walker HS (LA)
Jeff Tedford,2000,Oregon,OC,2000 Oregon
Joe Moorhead,2000,Georgetown,RB,2000 Georgetown
Matt Luke,2000,Murray State,OL,2000 Murray State
Matt Rhule,2000,Buffalo,DL,2000 Buffalo
Mike Bobo,2000,Jacksonville State,QB,2000 Jacksonville State
Rocky Long,2000,New Mexico,HC,2000 New Mexico
Tony Sanchez,2000,El Paso Irvin HS (TX),WR,2000 El Paso Irvin HS (TX)
Urban Meyer,2000,Notre Dame,WR,2000 Notre Dame
Mark Dantonio,2000,Michigan State,DB,2000 Michigan State
Troy Calhoun,1999,Ohio,OC,1999 Ohio
Tom Arth,1999,John Carroll,player,1999 John Carroll
Nick Saban,1999,Michigan State,HC,1999 Michigan State
Kevin Sumlin,1999,Purdue,WR,1999 Purdue
Herm Edwards,1999,Buccaneers,DB,1999 Buccaneers
Sam Pittman,1999,Western Michigan,AHC,1999 Western Michigan
Blake Anderson,1999,New Mexico,RB,1999 New Mexico
Jeff Monken,1999,Georgia Southern,RB,1999 Georgia Southern
Gus Malzahn,1999,Shiloh Christian HS (AR),HC,1999 Shiloh Christian HS (AR)
Mike Neu,1999,Nashville Kats,OC,1999 Nashville Kats
Dave Aranda,1999,Texas Tech,GA,1999 Texas Tech
Bryan Harsin,1999,Boise State,player,1999 Boise State
Jeff Hafley ,1999,Siena,player,1999 Siena
Scot Loeffler,1999,Michigan,GA,1999 Michigan
Lance Leipold,1999,Nebraska Omaha,Asst,1999 Nebraska Omaha
Kalani Sitake,1999,BYU,player,1999 BYU
Justin Wilcox,1999,Oregon,player,1999 Oregon
Josh Heupel,1999,Oklahoma,player,1999 Oklahoma
Jim McElwain,1999,Montana State,OC,1999 Montana State
Luke Fickell,1999,Ohio State,GA,1999 Ohio State
Dabo Swinney,1999,Alabama,WR,1999 Alabama
Steve Addazio,1999,Notre Dame,TE,1999 Notre Dame
Randy Edsall,1999,Connecticut,HC,1999 Connecticut
David Cutcliffe,1999,Ole Miss,HC,1999 Ole Miss
Mike Houston,1999,T. C. Roberson HS (NC),DC,1999 T. C. Roberson HS (NC)
Chris Creighton,1999,Ottawa (KS),HC,1999 Ottawa (KS)
Dan Mullen,1999,Notre Dame,GA,1999 Notre Dame
Willie Taggart,1999,Western Kentucky,WR,1999 Western Kentucky
Butch Davis,1999,Miami FL,HC,1999 Miami FL
Kalen DeBoer,1999,Washington HS (SD),Asst,1999 Washington HS (SD)
Kirby Smart,1999,Georgia,staff,1999 Georgia
Shawn Elliott,1999,Appalachian State,TE,1999 Appalachian State
Geoff Collins,1999,Georgia Tech,GA,1999 Georgia Tech
Dana Holgorsen,1999,Wingate,QB,1999 Wingate
Lovie Smith,1999,Buccaneers,LB,1999 Buccaneers
Tom Allen,1999,Ben Davis HS (IN),DC,1999 Ben Davis HS (IN)
Kirk Ferentz,1999,Iowa,HC,1999 Iowa
Matt Campbell,1999,Mount Union,player,1999 Mount Union
Les Miles,1999,Cowboys,TE,1999 Cowboys
Chris Klieman,1999,Missouri State,DB,1999 Missouri State
Mark Stoops,1999,Wyoming,DB,1999 Wyoming
Hugh Freeze,1999,Briarcrest HS (TN),HC,1999 Briarcrest HS (TN)
Skip Holtz,1999,South Carolina,OC,1999 South Carolina
Billy Napier,1999,Furman,player,1999 Furman
Matt Viator,1999,McNeese State,LB,1999 McNeese State
Scott Satterfield,1999,Appalachian State,RB,1999 Appalachian State
Ed Orgeron,1999,USC,DL,1999 USC
Doc Holliday,1999,West Virginia,WR,1999 West Virginia
Mike Locksley,1999,Maryland,RB,1999 Maryland
Manny Diaz,1999,Florida State,GA,1999 Florida State
Chuck Martin,1999,Eastern Michigan,LB,1999 Eastern Michigan
Jim Harbaugh,1999,Chargers,player,1999 Chargers
Mel Tucker,1999,Miami OH,DB,1999 Miami OH
Rick Stockstill,1999,Clemson,WR,1999 Clemson
P. J. Fleck,1999,Northern Illinois,player,1999 Northern Illinois
Mike Leach,1999,Oklahoma,OC,1999 Oklahoma
Ken Niumatalolo,1999,UNLV,TE,1999 UNLV
Scott Frost,1999,Jets,player,1999 Jets
Jay Norvell,1999,Colts,WR,1999 Colts
Danny Gonzales,1999,New Mexico,GA,1999 New Mexico
Doug Martin,1999,East Carolina,OC,1999 East Carolina
Mack Brown,1999,Texas,HC,1999 Texas
Dave Doeren,1999,USC,GA,1999 USC
Seth Littrell,1999,Oklahoma,player,1999 Oklahoma
Pat Fitzgerald,1999,Colorado,GA,1999 Colorado
Brian Kelly,1999,Grand Valley State,HC,1999 Grand Valley State
Frank Solich,1999,Nebraska,HC,1999 Nebraska
Ryan Day,1999,New Hampshire,player,1999 New Hampshire
Mike Gundy,1999,Maryland,PGC,1999 Maryland
Ricky Rahne,1999,Cornell,player,1999 Cornell
Lane Kiffin,1999,Colorado State,GA,1999 Colorado State
Mario Cristobal,1999,Miami FL,GA,1999 Miami FL
Jonathan Smith,1999,Oregon State,player,1999 Oregon State
James Franklin,1999,Idaho State,WR,1999 Idaho State
Pat Narduzzi,1999,Rhode Island,DC,1999 Rhode Island
Jeff Brohm,1999,Broncos,player,1999 Broncos
Mike Bloomgren,1999,Alabama,GA,1999 Alabama
Greg Schiano,1999,Miami FL,DC,1999 Miami FL
Brady Hoke,1999,Michigan,DL,1999 Michigan
Brent Brennan,1999,Washington,GA,1999 Washington
Sonny Dykes,1999,Kentucky,WR,1999 Kentucky
Steve Campbell,1999,Delta State,HC,1999 Delta State
Will Muschamp,1999,Eastern Kentucky,DB,1999 Eastern Kentucky
Jay Hopson,1999,Marshall,DB,1999 Marshall
David Shaw,1999,Raiders,staff,1999 Raiders
Dino Babers,1999,Arizona,OC,1999 Arizona
Gary Patterson,1999,TCU,DC,1999 TCU
Rod Carey,1999,Minnesota,GA,1999 Minnesota
Jeremy Pruitt,1999,West Alabama,DB,1999 West Alabama
Tom Herman,1999,Texas,GA,1999 Texas
Jimbo Fisher,1999,Cincinnati,OC,1999 Cincinnati
Matt Wells,1999,Navy,QB,1999 Navy
Jason Candle,1999,Geneva,player,1999 Geneva
Willie Fritz,1999,Central Missouri,HC,1999 Central Missouri
Philip Montgomery,1999,Stephenville HS (TX),QB,1999 Stephenville HS (TX)
Bill Clark,1999,Prattville HS (AL),HC,1999 Prattville HS (AL)
Chip Kelly,1999,New Hampshire,OC,1999 New Hampshire
Marcus Arroyo,1999,San Jose State,player,1999 San Jose State
Clay Helton,1999,Houston,RB,1999 Houston
Kyle Whittingham,1999,Utah,DC,1999 Utah
Gary Andersen,1999,Utah,DT,1999 Utah
Dana Dimel,1999,Wyoming,HC,1999 Wyoming
Jeff Traylor,1999,Jacksonville HS (TX),Asst,1999 Jacksonville HS (TX)
Derek Mason,1999,Bucknell,DB,1999 Bucknell
Bronco Mendenhall,1999,New Mexico,DC,1999 New Mexico
Justin Fuente,1999,Murray State,player,1999 Murray State
Dave Clawson,1999,Fordham,HC,1999 Fordham
Jimmy Lake,1999,Eastern Washington,GA,1999 Eastern Washington
Neal Brown,1999,Kentucky,player,1999 Kentucky
Tyson Helton,1999,Houston,player,1999 Houston
Tim Lester,1999,Western Michigan,player,1999 Western Michigan
Paul Chryst,1999,Chargers,TE,1999 Chargers
Craig Bohl,1999,Nebraska,LB,1999 Nebraska
Barry Odom,1999,Missouri,player,1999 Missouri
Bo Pelini,1999,Patriots,LB,1999 Patriots
Bob Davie,1999,Notre Dame,HC,1999 Notre Dame
Bob Stoops,1999,Oklahoma,HC,1999 Oklahoma
Bobby Petrino,1999,Jaguars,QB,1999 Jaguars
Bobby Wilder,1999,Maine,QB,1999 Maine
Chad Morris,1999,Elysian Fields HS (TX),HC,1999 Elysian Fields HS (TX)
Charlie Strong,1999,South Carolina,DC,1999 South Carolina
Chris Ash,1999,Drake,DC,1999 Drake
Chris Petersen,1999,Oregon,WR,1999 Oregon
Frank Wilson,1999,Karr HS (LA),Asst,1999 Karr HS (LA)
Jeff Tedford,1999,Oregon,OC,1999 Oregon
Joe Moorhead,1999,Pittsburgh,GA,1999 Pittsburgh
Matt Luke,1999,Ole Miss,GA,1999 Ole Miss
Matt Rhule,1999,Buffalo,DL,1999 Buffalo
Mike Bobo,1999,Georgia,GA,1999 Georgia
Rocky Long,1999,New Mexico,HC,1999 New Mexico
Urban Meyer,1999,Notre Dame,WR,1999 Notre Dame
Mark Dantonio,1999,Michigan State,DB,1999 Michigan State
Troy Calhoun,1998,Ohio,OC,1998 Ohio
Nick Saban,1998,Michigan State,HC,1998 Michigan State
Shawn Clark,1998,Appalachian State,player,1998 Appalachian State
Kevin Sumlin,1998,Purdue,WR,1998 Purdue
Herm Edwards,1998,Buccaneers,DB,1998 Buccaneers
Sam Pittman,1998,Oklahoma,OL,1998 Oklahoma
Blake Anderson,1998,Trinity Valley CC,OC,1998 Trinity Valley CC
Jeff Monken,1998,Georgia Southern,RB,1998 Georgia Southern
Gus Malzahn,1998,Shiloh Christian HS (AR),HC,1998 Shiloh Christian HS (AR)
Mike Neu,1998,Nashville Kats,QB,1998 Nashville Kats
Dave Aranda,1998,Cal Lutheran,GA,1998 Cal Lutheran
Bryan Harsin,1998,Boise State,player,1998 Boise State
Jeff Hafley ,1998,Siena,player,1998 Siena
Scot Loeffler,1998,Michigan,GA,1998 Michigan
Lance Leipold,1998,Nebraska Omaha,Asst,1998 Nebraska Omaha
Kalani Sitake,1998,BYU,player,1998 BYU
Justin Wilcox,1998,Oregon,player,1998 Oregon
Josh Heupel,1998,Snow College,player,1998 Snow College
Jim McElwain,1998,Montana State,OC,1998 Montana State
Dabo Swinney,1998,Alabama,WR,1998 Alabama
Steve Addazio,1998,Syracuse,OL,1998 Syracuse
Randy Edsall,1998,Georgia Tech,DC,1998 Georgia Tech
David Cutcliffe,1998,Tennessee,OC,1998 Tennessee
Mike Houston,1998,T. C. Roberson HS (NC),DC,1998 T. C. Roberson HS (NC)
Chris Creighton,1998,Ottawa (KS),HC,1998 Ottawa (KS)
Dan Mullen,1998,Syracuse,GA,1998 Syracuse
Willie Taggart,1998,Western Kentucky,player,1998 Western Kentucky
Butch Davis,1998,Miami FL,HC,1998 Miami FL
Kalen DeBoer,1998,Washington HS (SD),Asst,1998 Washington HS (SD)
Kirby Smart,1998,Georgia,player,1998 Georgia
Shawn Elliott,1998,Appalachian State,Asst,1998 Appalachian State
Geoff Collins,1998,Albright,DC,1998 Albright
Dana Holgorsen,1998,Mississippi College,QB,1998 Mississippi College
Lovie Smith,1998,Buccaneers,LB,1998 Buccaneers
Tom Allen,1998,Ben Davis HS (IN),DC,1998 Ben Davis HS (IN)
Kirk Ferentz,1998,Ravens,OL,1998 Ravens
Matt Campbell,1998,Pitt,player,1998 Pitt
Les Miles,1998,Cowboys,TE,1998 Cowboys
Mark Stoops,1998,Wyoming,DB,1998 Wyoming
Hugh Freeze,1998,Briarcrest HS (TN),HC,1998 Briarcrest HS (TN)
Skip Holtz,1998,Connecticut,HC,1998 Connecticut
Matt Viator,1998,Sulphur HS (LA),HC,1998 Sulphur HS (LA)
Scott Satterfield,1998,Appalachian State,WR,1998 Appalachian State
Ed Orgeron,1998,USC,DL,1998 USC
Doc Holliday,1998,West Virginia,WR,1998 West Virginia
Mike Locksley,1998,Maryland,RB,1998 Maryland
Manny Diaz,1998,Florida State,GA,1998 Florida State
Chuck Martin,1998,Eastern Michigan,LB,1998 Eastern Michigan
Jim Harbaugh,1998,Ravens,player,1998 Ravens
Mel Tucker,1998,Michigan State,GA,1998 Michigan State
Rick Stockstill,1998,Clemson,WR,1998 Clemson
Mike Leach,1998,Kentucky,OC,1998 Kentucky
Ken Niumatalolo,1998,Navy,OC,1998 Navy
Scott Frost,1998,Jets,player,1998 Jets
Jay Norvell,1998,Colts,WR,1998 Colts
Danny Gonzales,1998,New Mexico,player,1998 New Mexico
Doug Martin,1998,East Carolina,OC,1998 East Carolina
Mack Brown,1998,Texas,HC,1998 Texas
Dave Doeren,1998,USC,GA,1998 USC
Seth Littrell,1998,Oklahoma,player,1998 Oklahoma
Pat Fitzgerald,1998,Maryland,GA,1998 Maryland
Brian Kelly,1998,Grand Valley State,HC,1998 Grand Valley State
Frank Solich,1998,Nebraska,HC,1998 Nebraska
Ryan Day,1998,New Hampshire,player,1998 New Hampshire
Mike Gundy,1998,Maryland,PGC,1998 Maryland
Lane Kiffin,1998,Fresno State,Asst,1998 Fresno State
Mario Cristobal,1998,Miami FL,GA,1998 Miami FL
Jonathan Smith,1998,Oregon State,player,1998 Oregon State
James Franklin,1998,Washington State,TE,1998 Washington State
Pat Narduzzi,1998,Rhode Island,DC,1998 Rhode Island
Jeff Brohm,1998,Buccaneers,player,1998 Buccaneers
Greg Schiano,1998,Bears,DB,1998 Bears
Brady Hoke,1998,Michigan,DL,1998 Michigan
Brent Brennan,1998,Hawaii,GA,1998 Hawaii
Sonny Dykes,1998,Northeast Louisiana,WR,1998 Northeast Louisiana
Steve Campbell,1998,Southwest Mississippi JC,HC,1998 Southwest Mississippi JC
Will Muschamp,1998,West Georgia,DB,1998 West Georgia
Jay Hopson,1998,Marshall,DB,1998 Marshall
David Shaw,1998,Raiders,staff,1998 Raiders
Dino Babers,1998,Arizona,OC,1998 Arizona
Gary Patterson,1998,TCU,DC,1998 TCU
Rod Carey,1998,Minnesota,GA,1998 Minnesota
Jeremy Pruitt,1998,Plainview (AL) HS,DB,1998 Plainview (AL) HS
Tom Herman,1998,Texas Lutheran,WR,1998 Texas Lutheran
Jimbo Fisher,1998,Auburn,QB,1998 Auburn
Matt Wells,1998,Navy,QB,1998 Navy
Jason Candle,1998,Geneva,player,1998 Geneva
Willie Fritz,1998,Central Missouri,HC,1998 Central Missouri
Philip Montgomery,1998,Stephenville HS (TX),QB,1998 Stephenville HS (TX)
Bill Clark,1998,Dothan HS (AL),DC,1998 Dothan HS (AL)
Chip Kelly,1998,New Hampshire,OL,1998 New Hampshire
Marcus Arroyo,1998,San Jose State,player,1998 San Jose State
Clay Helton,1998,Houston,RB,1998 Houston
Kyle Whittingham,1998,Utah,DC,1998 Utah
Gary Andersen,1998,Utah,DT,1998 Utah
Dana Dimel,1998,Wyoming,HC,1998 Wyoming
Jeff Traylor,1998,Jacksonville HS (TX),Asst,1998 Jacksonville HS (TX)
Derek Mason,1998,Idaho State,RB,1998 Idaho State
Bronco Mendenhall,1998,New Mexico,DC,1998 New Mexico
Justin Fuente,1998,Murray State,player,1998 Murray State
Dave Clawson,1998,Villanova,OC,1998 Villanova
Jimmy Lake,1998,Eastern Washington,player,1998 Eastern Washington
Neal Brown,1998,Kentucky,player,1998 Kentucky
Tyson Helton,1998,Houston,player,1998 Houston
Tim Lester,1998,Western Michigan,player,1998 Western Michigan
Paul Chryst,1998,Oregon State,OC,1998 Oregon State
Craig Bohl,1998,Nebraska,LB,1998 Nebraska
Barry Odom,1998,Missouri,player,1998 Missouri
Bo Pelini,1998,Patriots,LB,1998 Patriots
Bob Davie,1998,Notre Dame,HC,1998 Notre Dame
Bob Stoops,1998,Florida,DC,1998 Florida
Bobby Petrino,1998,Louisville,OC,1998 Louisville
Bobby Wilder,1998,Maine,QB,1998 Maine
Chad Morris,1998,Elysian Fields HS (TX),HC,1998 Elysian Fields HS (TX)
Charlie Strong,1998,Notre Dame,DL,1998 Notre Dame
Chris Ash,1998,Drake,DC,1998 Drake
Chris Petersen,1998,Oregon,WR,1998 Oregon
Frank Wilson,1998,Karr HS (LA),Asst,1998 Karr HS (LA)
Jeff Tedford,1998,Oregon,OC,1998 Oregon
Joe Moorhead,1998,Pittsburgh,GA,1998 Pittsburgh
Matt Luke,1998,Ole Miss,player,1998 Ole Miss
Matt Rhule,1998,Albright,LB,1998 Albright
Mike Bobo,1998,Georgia,staff,1998 Georgia
Rocky Long,1998,New Mexico,HC,1998 New Mexico
Tony Sanchez,1998,Las Cruces Onate HS (NM),WR,1998 Las Cruces Onate HS (NM)
Urban Meyer,1998,Notre Dame,WR,1998 Notre Dame
Mark Dantonio,1998,Michigan State,DB,1998 Michigan State
Troy Calhoun,1997,Ohio,OC,1997 Ohio
Nick Saban,1997,Michigan State,HC,1997 Michigan State
Shawn Clark,1997,Appalachian State,player,1997 Appalachian State
Kevin Sumlin,1997,Minnesota,QB,1997 Minnesota
Herm Edwards,1997,Buccaneers,DB,1997 Buccaneers
Sam Pittman,1997,Oklahoma,OL,1997 Oklahoma
Blake Anderson,1997,Trinity Valley CC,QB,1997 Trinity Valley CC
Jeff Monken,1997,Georgia Southern,RB,1997 Georgia Southern
Gus Malzahn,1997,Shiloh Christian HS (AR),HC,1997 Shiloh Christian HS (AR)
Dave Aranda,1997,Cal Lutheran,GA,1997 Cal Lutheran
Bryan Harsin,1997,Boise State,player,1997 Boise State
Jeff Hafley ,1997,Siena,player,1997 Siena
Scot Loeffler,1997,Michigan,SA,1997 Michigan
Lance Leipold,1997,Nebraska Omaha,Asst,1997 Nebraska Omaha
Kalani Sitake,1997,BYU,player,1997 BYU
Justin Wilcox,1997,Oregon,player,1997 Oregon
Josh Heupel,1997,Weber State,player,1997 Weber State
Jim McElwain,1997,Montana State,OC,1997 Montana State
Luke Fickell,1997,Saints,player,1997 Saints
Dabo Swinney,1997,Alabama,TE,1997 Alabama
Steve Addazio,1997,Syracuse,OL,1997 Syracuse
Randy Edsall,1997,Jaguars,DB,1997 Jaguars
David Cutcliffe,1997,Tennessee,OC,1997 Tennessee
Mike Houston,1997,T. C. Roberson HS (NC),DC,1997 T. C. Roberson HS (NC)
Chris Creighton,1997,Ottawa (KS),HC,1997 Ottawa (KS)
Dan Mullen,1997,Columbia,WR,1997 Columbia
Willie Taggart,1997,Western Kentucky,player,1997 Western Kentucky
Butch Davis,1997,Miami FL,HC,1997 Miami FL
Kalen DeBoer,1997,Sioux Falls,WR,1997 Sioux Falls
Kirby Smart,1997,Georgia,player,1997 Georgia
Shawn Elliott,1997,Appalachian State,Asst,1997 Appalachian State
Geoff Collins,1997,Albright,DC,1997 Albright
Dana Holgorsen,1997,Mississippi College,QB,1997 Mississippi College
Lovie Smith,1997,Buccaneers,LB,1997 Buccaneers
Tom Allen,1997,Marion HS (IN),DC,1997 Marion HS (IN)
Kirk Ferentz,1997,Ravens,OL,1997 Ravens
Les Miles,1997,Oklahoma State,OC,1997 Oklahoma State
Chris Klieman,1997,Kansas,DB,1997 Kansas
Mark Stoops,1997,Wyoming,DB,1997 Wyoming
Hugh Freeze,1997,Briarcrest HS (TN),HC,1997 Briarcrest HS (TN)
Skip Holtz,1997,Connecticut,HC,1997 Connecticut
Matt Viator,1997,Sulphur HS (LA),HC,1997 Sulphur HS (LA)
Ed Orgeron,1997,Syracuse,DL,1997 Syracuse
Doc Holliday,1997,West Virginia,WR,1997 West Virginia
Mike Locksley,1997,Maryland,RB,1997 Maryland
Chuck Martin,1997,Millikin,DC,1997 Millikin
Jim Harbaugh,1997,Colts,player,1997 Colts
Mel Tucker,1997,Michigan State,GA,1997 Michigan State
Rick Stockstill,1997,Clemson,WR,1997 Clemson
Mike Leach,1997,Kentucky,OC,1997 Kentucky
Ken Niumatalolo,1997,Navy,OC,1997 Navy
Scott Frost,1997,Nebraska,player,1997 Nebraska
Jay Norvell,1997,Iowa State,QB,1997 Iowa State
Danny Gonzales,1997,New Mexico,player,1997 New Mexico
Doug Martin,1997,East Carolina,OC,1997 East Carolina
Mack Brown,1997,North Carolina,HC,1997 North Carolina
Dave Doeren,1997,Drake,DC,1997 Drake
Brian Kelly,1997,Grand Valley State,HC,1997 Grand Valley State
Frank Solich,1997,Nebraska,RB,1997 Nebraska
Mike Gundy,1997,Maryland,PGC,1997 Maryland
Lane Kiffin,1997,Fresno State,Asst,1997 Fresno State
James Franklin,1997,James Madison,WR,1997 James Madison
Pat Narduzzi,1997,Rhode Island,LB,1997 Rhode Island
Jeff Brohm,1997,49ers,player,1997 49ers
Mike Bloomgren,1997,Culver-Stockton,player,1997 Culver-Stockton
Greg Schiano,1997,Bears,Asst,1997 Bears
Brady Hoke,1997,Michigan,DL,1997 Michigan
Sonny Dykes,1997,Kentucky,TE,1997 Kentucky
Steve Campbell,1997,Southwest Mississippi JC,HC,1997 Southwest Mississippi JC
Jay Hopson,1997,Marshall,DB,1997 Marshall
David Shaw,1997,Eagles,staff,1997 Eagles
Dino Babers,1997,Arizona,RB,1997 Arizona
Gary Patterson,1997,New Mexico,DC,1997 New Mexico
Rod Carey,1997,Wayzata HS (MN),Asst,1997 Wayzata HS (MN)
Jeremy Pruitt,1997,Alabama,GA,1997 Alabama
Tom Herman,1997,Cal Lutheran,player,1997 Cal Lutheran
Jimbo Fisher,1997,Auburn,QB,1997 Auburn
Matt Wells,1997,Navy,QB,1997 Navy
Willie Fritz,1997,Central Missouri,HC,1997 Central Missouri
Philip Montgomery,1997,Stephenville HS (TX),QB,1997 Stephenville HS (TX)
Bill Clark,1997,Dothan HS (AL),DC,1997 Dothan HS (AL)
Chip Kelly,1997,New Hampshire,OL,1997 New Hampshire
Clay Helton,1997,Houston,RB,1997 Houston
Kyle Whittingham,1997,Utah,DC,1997 Utah
Gary Andersen,1997,Utah,DT,1997 Utah
Dana Dimel,1997,Wyoming,HC,1997 Wyoming
Jeff Traylor,1997,Jacksonville HS (TX),Asst,1997 Jacksonville HS (TX)
Derek Mason,1997,Idaho State,RB,1997 Idaho State
Bronco Mendenhall,1997,Louisiana Tech,DB,1997 Louisiana Tech
Justin Fuente,1997,Oklahoma,player,1997 Oklahoma
Dave Clawson,1997,Villanova,OC,1997 Villanova
Jimmy Lake,1997,Eastern Washington,player,1997 Eastern Washington
Tyson Helton,1997,Houston,player,1997 Houston
Tim Lester,1997,Western Michigan,player,1997 Western Michigan
Paul Chryst,1997,Oregon State,OC,1997 Oregon State
Craig Bohl,1997,Nebraska,LB,1997 Nebraska
Barry Odom,1997,Missouri,player,1997 Missouri
Bo Pelini,1997,Patriots,LB,1997 Patriots
Bob Davie,1997,Notre Dame,HC,1997 Notre Dame
Bob Stoops,1997,Florida,DC,1997 Florida
Bobby Petrino,1997,Utah State,OC,1997 Utah State
Bobby Wilder,1997,Maine,QB,1997 Maine
Chad Morris,1997,Eustace HS (TX),HC,1997 Eustace HS (TX)
Charlie Strong,1997,Notre Dame,DL,1997 Notre Dame
Chris Ash,1997,Drake,GA,1997 Drake
Chris Petersen,1997,Oregon,WR,1997 Oregon
Frank Wilson,1997,Karr HS (LA),Asst,1997 Karr HS (LA)
Jeff Tedford,1997,Fresno State,OC,1997 Fresno State
Matt Luke,1997,Ole Miss,player,1997 Ole Miss
Matt Rhule,1997,Penn State,player,1997 Penn State
Mike Bobo,1997,Georgia,player,1997 Georgia
Rocky Long,1997,UCLA,DC,1997 UCLA
Urban Meyer,1997,Notre Dame,WR,1997 Notre Dame
Mark Dantonio,1997,Michigan State,DB,1997 Michigan State
Troy Calhoun,1996,Ohio,QB,1996 Ohio
Nick Saban,1996,Michigan State,HC,1996 Michigan State
Shawn Clark,1996,Appalachian State,player,1996 Appalachian State
Kevin Sumlin,1996,Minnesota,WR,1996 Minnesota
Herm Edwards,1996,Buccaneers,DB,1996 Buccaneers
Sam Pittman,1996,Cincinnati,TE,1996 Cincinnati
Blake Anderson,1996,Trinity Valley CC,QB,1996 Trinity Valley CC
Jeff Monken,1996,Concordia IL,OL,1996 Concordia IL
Gus Malzahn,1996,Shiloh Christian HS (AR),HC,1996 Shiloh Christian HS (AR)
Dave Aranda,1996,Cal Lutheran,GA,1996 Cal Lutheran
Bryan Harsin,1996,Boise State,player,1996 Boise State
Scot Loeffler,1996,Michigan,SA,1996 Michigan
Lance Leipold,1996,Nebraska Omaha,Asst,1996 Nebraska Omaha
Justin Wilcox,1996,Oregon,player,1996 Oregon
Jim McElwain,1996,Montana State,OC,1996 Montana State
Luke Fickell,1996,Ohio State,player,1996 Ohio State
Dabo Swinney,1996,Alabama,TE,1996 Alabama
Steve Addazio,1996,Syracuse,TE,1996 Syracuse
Randy Edsall,1996,Jaguars,DB,1996 Jaguars
David Cutcliffe,1996,Tennessee,OC,1996 Tennessee
Mike Houston,1996,T. C. Roberson HS (NC),DC,1996 T. C. Roberson HS (NC)
Chris Creighton,1996,Manchester (IN),OC,1996 Manchester (IN)
Dan Mullen,1996,Columbia,WR,1996 Columbia
Willie Taggart,1996,Western Kentucky,player,1996 Western Kentucky
Butch Davis,1996,Miami FL,HC,1996 Miami FL
Kalen DeBoer,1996,Sioux Falls,player,1996 Sioux Falls
Kirby Smart,1996,Georgia,player,1996 Georgia
Geoff Collins,1996,Fordham,LB,1996 Fordham
Dana Holgorsen,1996,Mississippi College,QB,1996 Mississippi College
Lovie Smith,1996,Buccaneers,LB,1996 Buccaneers
Tom Allen,1996,Armwood HS (FL),DC,1996 Armwood HS (FL)
Kirk Ferentz,1996,Ravens,OL,1996 Ravens
Les Miles,1996,Oklahoma State,OC,1996 Oklahoma State
Chris Klieman,1996,Western Illinois,DB,1996 Western Illinois
Mark Stoops,1996,South Florida,DB,1996 South Florida
Hugh Freeze,1996,Briarcrest HS (TN),HC,1996 Briarcrest HS (TN)
Skip Holtz,1996,Connecticut,HC,1996 Connecticut
Matt Viator,1996,Sulphur HS (LA),HC,1996 Sulphur HS (LA)
Ed Orgeron,1996,Syracuse,DL,1996 Syracuse
Doc Holliday,1996,West Virginia,WR,1996 West Virginia
Mike Locksley,1996,Army,WR,1996 Army
Chuck Martin,1996,Millikin,DC,1996 Millikin
Jim Harbaugh,1996,Colts,player,1996 Colts
Rick Stockstill,1996,Clemson,WR,1996 Clemson
Mike Leach,1996,Valdosta State,OC,1996 Valdosta State
Ken Niumatalolo,1996,Navy,RB,1996 Navy
Scott Frost,1996,Nebraska,player,1996 Nebraska
Jay Norvell,1996,Iowa State,QB,1996 Iowa State
Danny Gonzales,1996,New Mexico,player,1996 New Mexico
Doug Martin,1996,East Carolina,OC,1996 East Carolina
Mack Brown,1996,North Carolina,HC,1996 North Carolina
Dave Doeren,1996,Drake,LB,1996 Drake
Pat Fitzgerald,1996,Northwestern,player,1996 Northwestern
Brian Kelly,1996,Grand Valley State,HC,1996 Grand Valley State
Frank Solich,1996,Nebraska,RB,1996 Nebraska
Mike Gundy,1996,Baylor,PGC,1996 Baylor
Lane Kiffin,1996,Fresno State,player,1996 Fresno State
Mario Cristobal,1996,Amsterdam Admirals,player,1996 Amsterdam Admirals
